Crop,Nitrogen,Phosphorus,Potassium,pH,Temperature,Humidity,Rainfall,Irrigation,Yield_Tonnes_Per_Hectare
Rice,91.6,53.4,27.3,5.59,38.7,98.0,810.9,Rainfed,1.19
Rice,147.6,50.5,47.9,6.47,32.0,61.3,865.9,Drip,2.79
Rice,157.9,30.7,54.8,6.35,36.2,63.0,2323.8,Flood,2.26
Rice,128.8,52.8,52.4,7.46,30.0,56.4,2848.1,Flood,2.09
Rice,99.5,61.3,30.1,6.91,39.0,57.2,2949.8,Sprinkler,2.38
Rice,138.9,56.7,57.6,7.48,26.5,69.7,2268.7,Flood,2.35
Rice,142.5,32.1,49.2,5.21,24.8,71.5,1671.6,Flood,2.33
Rice,105.0,38.6,41.7,5.79,19.5,82.2,2270.1,Sprinkler,2.33
Rice,112.2,51.9,26.6,6.09,26.0,72.9,2076.4,Sprinkler,2.73
Rice,137.1,70.2,56.7,7.68,18.4,63.8,816.6,Sprinkler,2.05
Rice,65.6,76.9,40.8,5.46,28.2,66.6,1426.7,Drip,2.79
Rice,114.2,42.6,52.0,7.06,23.7,73.6,1068.1,Drip,2.76
Rice,131.5,31.4,50.2,5.87,38.2,76.8,2573.2,Sprinkler,2.38
Rice,77.9,30.1,49.1,6.53,30.1,39.8,276.3,Rainfed,1.35
Rice,137.6,56.1,36.6,5.99,33.4,93.3,2277.1,Flood,2.22
Rice,74.7,48.8,32.2,5.81,36.3,76.3,1977.8,Drip,2.71
Rice,86.2,45.6,47.8,6.49,45.9,64.8,2042.7,Flood,2.31
Rice,104.7,65.3,26.2,6.09,35.2,82.1,1541.9,Rainfed,1.97
Rice,120.0,47.6,41.5,6.09,31.0,74.9,2630.1,Flood,2.5
Rice,89.0,53.7,50.4,5.96,27.8,66.7,1078.5,Rainfed,1.92
Rice,104.8,43.8,50.8,5.43,38.2,83.6,2460.6,Drip,2.51
Rice,102.4,70.7,25.6,5.98,38.6,76.4,1641.6,Drip,2.9
Rice,76.5,40.3,53.6,7.23,30.3,77.7,1239.0,Rainfed,2.06
Rice,91.2,40.5,40.8,4.11,35.9,79.4,1458.3,Rainfed,1.83
Rice,75.9,68.7,50.5,6.67,26.2,77.6,1673.8,Sprinkler,2.81
Rice,127.9,54.8,56.9,5.57,22.5,91.8,1509.6,Drip,2.77
Rice,117.7,76.8,50.5,6.45,24.6,82.3,1106.2,Flood,2.35
Rice,91.7,77.9,61.4,6.93,20.6,76.5,1913.4,Drip,2.83
Rice,148.4,40.8,62.5,5.2,18.4,82.1,1602.6,Sprinkler,2.18
Rice,79.0,37.1,46.6,7.16,31.0,68.4,1746.7,Drip,2.97
Rice,122.2,60.3,35.5,5.8,22.6,62.8,2242.6,Flood,2.25
Rice,139.9,47.8,54.0,6.12,29.0,76.7,1189.2,Sprinkler,2.69
Rice,118.6,63.0,33.8,6.81,24.8,92.5,2184.5,Drip,2.86
Rice,96.0,40.6,49.4,4.6,24.5,65.2,1190.8,Sprinkler,2.51
Rice,97.7,47.2,45.5,7.24,36.7,98.0,2531.2,Drip,2.68
Rice,103.9,39.5,62.1,5.3,36.9,75.8,2201.8,Flood,2.21
Rice,66.3,54.0,32.0,7.12,28.8,85.6,891.7,Drip,2.85
Rice,66.8,29.4,26.0,7.69,33.5,70.9,1452.4,Drip,2.62
Rice,98.8,52.0,54.9,5.64,42.5,62.9,1772.0,Drip,2.93
Rice,137.6,59.9,42.1,5.73,20.5,82.7,2504.2,Sprinkler,2.32
Rice,140.6,41.6,68.1,6.76,30.2,88.7,2585.9,Flood,2.28
Rice,39.7,7.9,9.8,6.36,27.5,81.5,2414.6,Sprinkler,2.27
Rice,60.8,80.1,54.7,6.02,36.5,66.6,1996.8,Sprinkler,2.47
Rice,73.8,42.8,52.6,4.32,29.2,85.5,1161.9,Drip,2.68
Rice,80.5,43.7,42.4,7.02,44.5,81.4,1158.9,Flood,2.22
Rice,148.1,60.5,58.6,5.62,27.7,55.4,1342.7,Flood,2.43
Rice,122.0,62.6,48.4,6.88,26.4,33.5,233.5,Rainfed,1.35
Rice,144.8,71.3,26.0,7.15,33.9,85.5,2463.8,Flood,2.11
Rice,115.0,61.2,36.5,5.78,31.3,60.1,1267.6,Rainfed,1.67
Rice,82.7,45.5,42.1,5.05,28.7,85.3,1156.2,Sprinkler,2.72
Rice,128.2,69.8,37.2,7.35,28.5,58.5,928.8,Drip,2.92
Rice,131.3,68.9,48.0,6.34,21.1,69.8,1754.8,Drip,3.06
Rice,160.8,76.8,53.5,6.3,31.4,90.4,1060.3,Sprinkler,2.3
Rice,98.5,57.0,51.1,5.68,25.6,70.1,857.6,Drip,2.74
Rice,89.8,77.2,36.8,6.32,36.3,92.9,1209.4,Flood,2.38
Rice,108.5,32.8,29.0,7.09,28.4,74.7,2404.9,Flood,2.44
Rice,116.0,68.3,32.1,4.07,24.8,69.2,1370.5,Rainfed,1.68
Rice,158.4,45.9,44.2,7.4,23.6,62.0,2676.8,Drip,2.66
Rice,91.5,68.0,29.3,5.82,33.4,79.7,1081.6,Flood,2.45
Rice,143.5,68.8,52.7,6.49,38.6,61.5,2395.3,Drip,2.55
Rice,157.7,35.6,26.5,7.07,26.8,59.0,2304.3,Sprinkler,2.34
Rice,82.6,47.7,49.1,7.26,29.5,82.6,1297.5,Flood,2.35
Rice,81.4,30.9,63.0,6.4,33.7,68.1,2531.3,Drip,2.72
Rice,158.8,69.2,47.1,6.08,36.3,79.5,2468.5,Flood,2.02
Rice,155.6,56.3,58.2,6.65,29.6,59.2,1556.1,Drip,3.08
Rice,140.5,46.0,45.1,6.23,20.0,74.8,1230.3,Drip,2.82
Rice,87.6,42.7,53.5,5.71,36.8,78.4,1784.7,Sprinkler,2.57
Rice,95.4,65.9,35.1,6.51,43.6,61.2,1545.5,Rainfed,1.88
Rice,122.0,30.1,63.9,7.29,28.6,98.0,1719.1,Rainfed,2.11
Rice,123.9,34.6,63.9,6.31,21.4,55.6,2031.5,Sprinkler,2.69
Rice,138.1,43.5,38.9,7.34,21.9,86.6,2482.1,Rainfed,1.87
Rice,125.6,42.8,36.6,7.33,36.5,78.6,1337.5,Drip,2.77
Rice,151.4,66.2,33.8,6.8,27.1,81.0,2423.8,Flood,2.25
Rice,85.3,27.2,57.7,5.48,24.6,55.2,2299.7,Drip,2.73
Rice,72.3,42.2,49.6,7.38,34.8,86.8,2182.7,Rainfed,1.86
Rice,85.9,75.4,54.7,6.66,20.3,75.1,1812.8,Flood,2.19
Rice,70.7,48.7,27.3,7.12,37.3,67.6,2688.4,Drip,2.61
Rice,136.0,69.8,26.3,7.7,33.3,68.7,2624.7,Drip,2.43
Rice,10.4,11.1,8.9,6.7,25.1,70.5,2114.8,Rainfed,1.84
Rice,129.7,56.7,47.8,5.07,23.2,62.8,1359.3,Drip,2.63
Rice,139.6,57.0,54.2,5.86,22.6,77.0,2422.6,Sprinkler,2.29
Rice,128.1,65.2,47.2,6.53,42.6,71.1,1651.9,Flood,2.34
Rice,114.2,53.7,51.1,5.97,28.7,63.6,1576.8,Rainfed,2.13
Rice,125.7,77.8,51.6,7.13,28.6,83.5,956.1,Drip,2.71
Rice,89.4,68.9,39.9,6.46,41.2,81.4,1421.0,Rainfed,1.74
Rice,114.0,72.5,27.7,7.37,35.7,67.8,1818.3,Sprinkler,2.49
Rice,22.7,6.1,13.0,5.73,25.9,77.8,2311.3,Drip,2.08
Rice,64.1,50.3,65.9,5.63,26.2,87.8,2741.0,Flood,2.21
Rice,132.4,78.0,56.9,7.44,18.0,87.3,2625.1,Drip,2.2
Rice,85.6,62.1,60.3,6.92,19.9,81.8,2009.1,Rainfed,1.79
Rice,101.4,61.0,53.6,7.51,30.6,77.6,1105.5,Drip,2.73
Rice,120.7,34.8,57.1,5.63,43.2,65.0,1017.6,Sprinkler,1.94
Rice,133.7,62.3,36.5,6.43,33.9,21.7,185.6,Rainfed,1.51
Rice,100.5,29.8,49.1,7.44,30.4,65.2,1645.3,Sprinkler,2.89
Rice,110.8,44.8,48.0,6.91,44.1,73.1,1250.3,Drip,2.81
Rice,64.0,67.4,66.7,6.08,28.9,72.1,814.8,Sprinkler,2.46
Rice,107.2,63.7,47.4,6.62,21.8,65.9,2458.0,Rainfed,2.19
Rice,107.2,35.4,33.0,5.92,45.6,74.5,1593.2,Sprinkler,2.47
Rice,150.9,31.9,67.1,6.02,36.7,82.1,2618.8,Rainfed,1.85
Rice,157.1,46.9,42.3,6.09,29.4,61.9,2018.2,Sprinkler,2.82
Rice,90.2,39.8,34.0,5.35,25.2,67.2,2926.1,Sprinkler,2.35
Rice,118.4,33.2,44.8,6.83,28.3,73.1,2986.5,Flood,2.44
Rice,79.9,47.2,27.2,6.44,29.4,65.2,2920.9,Rainfed,2.17
Rice,113.6,73.3,31.2,7.26,20.6,90.7,1406.7,Flood,2.28
Rice,147.2,57.9,41.8,5.94,22.3,89.3,1650.4,Sprinkler,2.65
Rice,118.1,73.1,68.2,6.26,35.4,89.4,2061.8,Rainfed,1.94
Rice,104.1,72.1,64.3,5.36,36.6,75.2,1923.0,Sprinkler,2.43
Rice,61.4,51.7,55.4,7.08,32.5,61.0,1458.7,Sprinkler,2.56
Rice,35.4,17.9,7.6,7.49,21.5,60.1,1066.2,Rainfed,1.56
Rice,134.7,33.4,58.3,7.2,31.8,89.5,2661.0,Sprinkler,2.38
Rice,98.5,32.6,40.5,4.13,33.7,93.2,1108.5,Drip,2.43
Rice,75.4,50.0,53.8,6.91,20.9,21.8,191.0,Rainfed,1.2
Rice,141.1,76.6,43.1,7.56,24.8,76.4,1297.3,Sprinkler,2.33
Rice,120.8,45.2,53.7,5.52,36.7,77.6,1788.6,Sprinkler,2.55
Rice,84.1,64.8,61.3,7.29,29.6,78.4,1114.3,Flood,2.31
Rice,109.9,41.1,31.3,6.84,19.1,88.7,1498.7,Drip,2.86
Rice,131.3,28.9,62.0,5.21,23.2,88.3,1495.8,Drip,2.59
Rice,86.9,71.8,39.1,7.25,36.7,74.5,2801.9,Sprinkler,2.26
Rice,123.7,64.2,25.7,5.63,33.0,85.0,2925.3,Flood,2.25
Rice,130.8,41.9,30.1,7.23,31.5,57.2,1592.1,Rainfed,1.74
Rice,80.7,45.8,41.6,5.34,34.1,73.7,2608.8,Flood,2.15
Rice,37.8,14.5,13.4,7.09,32.8,61.3,1592.1,Rainfed,1.86
Rice,125.0,47.2,56.5,5.72,36.7,67.9,1609.1,Drip,2.95
Rice,108.1,34.0,50.6,5.98,35.5,41.0,298.3,Rainfed,1.23
Rice,86.6,65.4,63.7,5.31,26.4,89.3,1800.8,Drip,2.96
Rice,138.3,35.0,30.5,4.92,33.7,64.2,1398.4,Rainfed,1.62
Rice,82.2,60.8,50.3,6.68,31.9,79.7,2734.4,Flood,2.2
Rice,143.7,58.8,38.2,5.74,21.2,95.5,2362.3,Rainfed,1.77
Rice,74.0,68.3,58.3,4.94,36.9,79.1,2444.2,Rainfed,1.86
Rice,80.3,65.4,52.5,7.53,35.8,69.2,1407.7,Rainfed,1.96
Rice,88.2,43.8,57.5,6.08,42.8,91.2,2061.6,Sprinkler,2.5
Rice,154.0,52.9,35.5,5.32,26.7,68.6,2474.4,Sprinkler,2.45
Rice,115.0,35.4,45.4,6.66,36.1,76.7,2774.9,Flood,2.31
Rice,125.5,64.2,37.3,7.42,41.2,93.3,2492.2,Rainfed,1.71
Rice,100.6,53.7,32.2,6.74,36.7,66.7,2188.9,Rainfed,2.12
Rice,155.3,78.3,48.2,7.74,33.9,62.3,1849.2,Flood,2.21
Rice,76.0,56.6,59.1,6.5,18.3,55.4,1585.5,Rainfed,1.9
Rice,73.2,62.3,35.3,6.53,44.8,68.9,1368.7,Drip,2.93
Rice,14.9,17.9,17.4,6.49,28.7,76.9,1953.2,Rainfed,1.83
Rice,152.7,77.8,50.6,6.13,34.5,66.3,2041.0,Sprinkler,2.37
Rice,138.2,31.1,55.2,7.0,23.9,93.5,1222.3,Rainfed,1.99
Rice,82.3,49.2,56.8,6.66,27.0,69.7,2647.3,Drip,3.03
Rice,100.2,67.5,61.3,7.51,29.4,64.2,1361.7,Drip,2.84
Rice,62.8,60.5,41.3,5.97,36.5,75.7,1009.1,Flood,2.1
Rice,111.8,51.0,27.5,5.95,37.6,72.6,2002.7,Sprinkler,2.77
Rice,65.7,45.4,57.0,5.72,22.3,55.5,1762.5,Flood,2.48
Rice,101.7,67.2,52.0,7.53,35.2,66.4,1397.2,Drip,2.68
Rice,161.0,47.8,35.1,7.18,29.4,61.7,1637.5,Sprinkler,2.7
Rice,123.3,52.0,41.2,7.67,31.3,60.8,2032.2,Flood,2.22
Rice,77.0,79.0,45.0,5.61,21.8,59.4,2567.7,Drip,2.49
Rice,21.1,9.4,17.7,7.21,31.9,85.4,1843.1,Flood,1.99
Rice,91.2,52.0,47.5,6.21,37.0,55.7,2520.8,Drip,2.9
Rice,69.4,56.2,47.3,7.04,29.2,79.3,1745.1,Drip,3.26
Rice,71.5,78.4,56.6,7.68,22.8,94.6,2579.3,Flood,1.8
Rice,110.4,29.4,39.1,7.63,35.9,98.0,2181.6,Drip,2.78
Rice,27.6,8.7,9.0,6.21,30.6,71.7,2099.0,Sprinkler,2.09
Rice,68.0,43.8,55.0,5.39,22.3,72.2,2960.5,Flood,2.02
Rice,71.3,68.5,59.7,6.76,38.8,69.6,2870.8,Rainfed,1.69
Rice,70.0,55.6,68.1,6.64,22.0,81.2,1249.8,Sprinkler,2.53
Rice,84.4,49.3,38.1,6.07,43.9,93.9,1905.5,Flood,2.31
Rice,106.0,30.6,49.6,6.87,32.8,71.8,2040.1,Sprinkler,2.7
Rice,118.7,54.4,36.4,5.21,21.7,60.3,1788.0,Sprinkler,2.44
Rice,10.5,12.6,8.3,6.4,36.3,74.0,2259.7,Sprinkler,2.2
Wheat,90.4,72.6,42.2,7.48,16.5,75.1,342.4,Flood,2.56
Wheat,113.8,91.8,30.9,7.01,23.4,66.5,431.0,Flood,2.72
Wheat,73.2,86.9,22.5,6.55,10.3,38.5,954.3,Sprinkler,2.17
Wheat,130.2,55.6,35.2,7.82,17.7,57.2,489.6,Flood,2.66
Wheat,121.7,48.7,62.7,6.4,25.4,54.2,432.6,Flood,2.61
Wheat,157.9,36.0,54.3,6.69,27.5,63.7,896.9,Sprinkler,2.47
Wheat,83.1,79.5,38.9,6.9,25.7,61.9,428.8,Sprinkler,2.83
Wheat,87.4,70.6,37.3,4.79,16.2,45.6,430.2,Drip,2.59
Wheat,166.5,77.3,51.5,7.68,18.9,71.3,285.9,Rainfed,1.65
Wheat,145.6,38.4,57.9,7.69,14.3,71.4,861.9,Sprinkler,2.31
Wheat,96.4,47.4,34.6,7.87,11.6,72.3,538.2,Sprinkler,2.75
Wheat,116.3,58.0,21.8,6.41,19.2,53.5,814.2,Sprinkler,3.04
Wheat,112.9,77.0,57.5,6.98,25.8,48.4,680.6,Drip,3.43
Wheat,80.7,70.8,45.7,5.98,14.2,49.0,403.5,Drip,2.84
Wheat,103.1,77.5,45.3,8.07,18.3,68.9,924.9,Flood,2.54
Wheat,108.8,74.8,43.9,6.96,13.8,35.1,60.5,Rainfed,1.47
Wheat,82.9,74.1,29.9,6.64,27.9,44.2,655.8,Sprinkler,2.84
Wheat,133.7,73.9,31.9,5.72,24.5,59.1,898.7,Flood,2.24
Wheat,118.7,53.4,54.5,6.78,13.7,73.5,933.1,Sprinkler,2.77
Wheat,162.2,45.8,24.1,7.81,17.8,59.4,996.4,Drip,2.61
Wheat,75.7,55.8,55.0,6.74,29.9,60.2,517.7,Drip,2.91
Wheat,112.5,68.9,44.7,4.85,12.1,47.6,680.8,Drip,2.72
Wheat,134.0,39.5,25.6,5.82,21.6,54.2,685.5,Sprinkler,2.94
Wheat,69.5,46.0,51.2,6.63,23.2,50.6,569.2,Drip,3.16
Wheat,131.3,59.1,53.8,7.75,20.8,69.1,507.1,Sprinkler,2.95
Wheat,87.4,68.8,57.4,7.78,24.5,68.6,692.9,Sprinkler,2.9
Wheat,137.5,66.4,48.9,6.49,35.2,49.2,819.5,Sprinkler,2.64
Wheat,116.4,50.2,48.7,7.68,11.3,70.0,888.0,Sprinkler,2.46
